"Variável","F_value","R2","p_value"
"Region",1.75223966203195,0.0654988024990974,0.037
"IL17A",0.26107271061019,0.00351560650931573,0.953
"IFNGamma",0.626975605984288,0.00840146074382802,0.699
"TNF",0.846565297335675,0.0113106766352284,0.455
"IL10",0.474771990431922,0.00637493714640601,0.84
"IL6",0.482458385887393,0.00647747666152232,0.849
"IL4",0.93262721994921,0.0124462100763086,0.403
"IL2",0.440110035920867,0.00591227008810833,0.879
"Age",1.34007667016171,0.0128433552372971,0.176
"Sex",2.11900331556586,0.0201581374321505,0.072
"Raca",1.20765001399753,0.0460800572868045,0.219
"Systolic",0.809804465441258,0.00803299311743897,0.493
"Diastolic",0.67920547985369,0.00674623400747438,0.617
"IMC",1.95584795067162,0.0186349592601153,0.085
"W.H",0.75376616465906,0.0105049003689832,0.532
"UREIA",2.08407244444842,0.021247817229742,0.067
"CREATININA",0.470330966284178,0.00487539496934613,0.698
"HbA1c",1.44367020524901,0.0149690508685187,0.176
"COLESTEROL",1.42016057793765,0.0145776866873618,0.19
"LDL",1.47404294171404,0.0159400724227351,0.152
"HDL",0.984336693781442,0.0107011337925752,0.376
"VLDL",1.33651261632919,0.0137308455008791,0.234
"TRIGLICERIDES",1.29342184388681,0.0132940317996235,0.25
"TGO",1.20278836146875,0.0123740108873825,0.26
"TGP",1.63487962117998,0.0167448316372515,0.129
"GGT",1.42369507804109,0.0146134374897261,0.197
"GLICOSE",1.03135240599741,0.0107397467614233,0.34
"INSULINA",0.809379259187675,0.0112712192688132,0.502
"HOMA.IR",0.763276062559087,0.0106360258956643,0.553
"PCR",1.75449908372509,0.0241153345266803,0.108
"carboidrato_total_g",1.03410307175158,0.0099400392872938,0.355
"proteina_g",1.10446976799518,0.0106092444489327,0.302
"lipidios_g",1.40063485026138,0.0134159610453545,0.184
"fibra_alimentar_g",0.670052173751913,0.00646331471531335,0.632
"colesterol_mg",4.33479171255965,0.0403857094554032,0.004
"acidos_graxos_saturados_g",1.46694419742724,0.014042185388853,0.169
"acidos_graxos_monoinsaturados_g",1.69764307277124,0.0162147210094431,0.112
"acidos_graxos_poliinsaturados_g",1.9196782592925,0.0182966464550941,0.093
"acidos_graxos_trans_g",1.40598358256799,0.0134665038757677,0.192
"calcio_mg",1.70198532047407,0.0162555209938436,0.119
"ferro_mg",0.323498585388378,0.0031309294576493,0.961
"sodio_mg",2.11799813777536,0.0201487678161389,0.06
"magnesio_mg",0.547422844441152,0.00528668729171119,0.778
"fosforo_mg",0.440445272956026,0.00425795994781143,0.858
"potassio_mg",0.981252662896092,0.00943682286726514,0.382
"manganes_mg",0.25046113570149,0.00242576287743946,0.964
"zinco_mg",0.338432019024246,0.00327498697640334,0.949
"cobre_mg",2.37165183973868,0.022507494172586,0.053
"selenio_mcg",0.598857020167917,0.00578053694213379,0.695
"vitamina_A_RAE_mcg",3.57348776898176,0.0335307386836018,0.022
"vitamina_D_mcg",1.56830722746988,0.0149979211584472,0.151
"vitamina_E_mg",0.618618260990652,0.0059701458229495,0.686
"tiamina_mg",0.284047527615529,0.00275015875553852,0.936
"riboflavina_mg",0.45650056904965,0.00441248801707699,0.835
"niacina_mg",0.749962893151367,0.007228560591619,0.567
"vitamina_B6_mg",0.687884170579653,0.00663418080214653,0.616
"vitamina_B12_mcg",4.17014738284899,0.0389114644766865,0.013
"vitamina_C_mg",1.21925004243035,0.0116988948004707,0.243
"equivalente_de_folato_mcg",0.510316917600651,0.00493010680285028,0.804
"sal_de_adicao_g",1.24055188430293,0.0119008568342945,0.23
"acucar_de_adicao_g",1.04241623561163,0.0100191467415655,0.331
"BHEI_R_Score_Total",1.00831596870969,0.00969457066310959,0.363
"Percentual_NOVA_group_1",0.893919230162479,0.00952052313389126,0.446
"Percentual_NOVA_group_2",0.724680085614053,0.00773200916719144,0.57
"Percentual_NOVA_group_3",0.618147603295469,0.00660286086747682,0.691
"BMI",2.25794459922628,0.0237034780534685,0.066
"TyG",0.887589595286764,0.00925656384765764,0.446
"VAI",0.664290743076009,0.0104342754049805,0.646
"shannon_entropy",5.926545346734,0.0544086414185695,0.002
"pielou_evenness",5.68973911482861,0.0523484476194897,0.004
"faith_pd",7.6554138420759,0.0691824609051798,0.001
"observed_features",6.98791521145241,0.0635334818195081,0.001
"simpson",3.71078888156565,0.0347742615386727,0.009
"chao1",6.8530552977585,0.0623838388398318,0.001
