"Variavel","Media","DesvioPadrao","Minimo","Maximo"
"Sample.id",NA,NA,NA,NA
"Region_type",NA,NA,NA,NA
"Region",NA,NA,NA,NA
"IL17A",7.38736842105263,16.2065817385753,0,143.21
"IFNGamma",3.10421052631579,1.69026172581479,0,7.08
"TNF",8.55394736842105,15.4778095848172,0,108.45
"IL10",3.56789473684211,2.82975537967011,0,19.04
"IL6",7.05934210526316,4.68653484941026,1.84,30.88
"IL4",3.99026315789474,2.03178277952095,0.47,13.73
"IL2",3.73644736842105,4.40901401039503,0,26.46
"Age",54.3396226415094,11.9282671814259,23,83
"Sex",NA,NA,NA,NA
"Raca",NA,NA,NA,NA
"Menopausa",NA,NA,NA,NA
"Gravida",NA,NA,NA,NA
"Fuma",NA,NA,NA,NA
"Alcool",NA,NA,NA,NA
"Medicamentos",NA,NA,NA,NA
"Doenca",NA,NA,NA,NA
"Antibiotico",NA,NA,NA,NA
"Systolic",135.436893203883,21.570981734689,93,215
"Diastolic",85.2873786407767,17.6148482353731,9,115
"Weight",75.8056603773585,15.4515098981031,50,117.45
"Height",1.6588679245283,0.106039711830876,1.2,1.92
"IMC",27.5863044411321,5.35538089849782,18.6122449,45.3107519
"Waist",95.3232876712329,14.8287307517455,68,140
"Hip",102.742465753425,11.2078707191794,78,140.4
"W.H",0.926474945021918,0.0878671393003398,0.7049180328,1.107272727
"Parasitologico",NA,NA,NA,NA
"UREIA",33.210101010101,8.45993553009515,18,55
"CREATININA",1.56777777777778,6.4424033029189,0.52,65
"HbA1c",5.87551020408163,0.966987161237364,5,12.3
"COLESTEROL",193.777777777778,36.5489762428319,113,350
"LDL",124.425531914894,34.0753401080234,54,278
"HDL",45.5851063829787,12.9767447700597,24,92
"VLDL",23.2767676767677,8.16121774980676,9.8,43
"TRIGLICERIDES",119.959595959596,56.87166347099,38,294
"TGO",22.7676767676768,5.70504303016966,13,45
"TGP",22.3737373737374,8.6597660554085,9,49
"GGT",31.8535353535354,32.9404853350468,6,246
"GLICOSE",96.7959183673469,26.7431306079695,71,277
"INSULINA",13.9904109589041,14.0911434397595,1.8,82.5
"HOMA.IR",3.28371215960137,3.44092110852274,0.4088888889,18.33333333
"PCR",2.8513698630137,3.33247210335431,0.16,11.5
"sample.plate",1.83018867924528,0.377250658447658,1,2
"carboidrato_total_g",1.36441420358491,42.2320305075968,-137.891903,141.5460955
"proteina_g",-0.671237123560377,18.7851993918194,-65.93044426,51.35664237
"lipidios_g",-0.453581441572453,13.4998175627094,-45.45299676,44.01052103
"fibra_alimentar_g",0.516175150622453,8.89098957364717,-19.12021226,29.63877549
"colesterol_mg",-0.14231012061415,156.165516537236,-316.6719955,585.712715
"acidos_graxos_saturados_g",-0.258977041812358,5.20770557874448,-17.07847538,22.7202606
"acidos_graxos_monoinsaturados_g",0.109341298981132,6.38757645040364,-18.18315879,24.58102393
"acidos_graxos_poliinsaturados_g",-0.0740938027291509,5.05956894156237,-14.23954078,17.97741402
"acidos_graxos_trans_g",-0.0678682842958491,0.96083664097736,-1.712741892,6.392051442
"calcio_mg",-17.6147133253368,201.851246659627,-396.4658532,618.0574921
"ferro_mg",0.145837449479061,2.32866832219201,-7.096910848,6.670761553
"sodio_mg",17.0781707436792,772.41652864562,-1791.422728,2909.260746
"magnesio_mg",4.92906332619491,69.8219087017998,-192.2714136,342.661838
"fosforo_mg",-10.4595357904623,193.223531394458,-714.1908841,607.0462101
"potassio_mg",-0.760693659716984,537.276461716177,-1286.47566,1721.94067
"manganes_mg",0.0599548447618585,3.93786014610033,-2.874280106,37.88145484
"zinco_mg",-0.0221285587886793,3.07140219518127,-7.829712279,7.740249001
"cobre_mg",0.0535077037922642,1.60580611636791,-1.52437747,12.75957393
"selenio_mcg",1.14132488348113,51.2386286079627,-92.299107,271.2495583
"vitamina_A_RAE_mcg",69.3336786920377,1766.85727910304,-1199.152479,15501.0415
"vitamina_D_mcg",-0.0108524901791708,1.55015733029983,-3.231457054,5.171733129
"vitamina_E_mg",-2.76764507428491,3.7437922769916,-9.238768659,9.536849167
"tiamina_mg",-0.0431816804266981,2.12969204618307,-0.979569652,20.98473758
"riboflavina_mg",0.0126111172220755,0.57948737978845,-1.692801264,2.815450876
"niacina_mg",-0.36506127370283,12.9864916213505,-16.8043059,74.94293613
"vitamina_B6_mg",0.0115196602437736,0.469875336289295,-0.7477153723,2.477744214
"vitamina_B12_mcg",-0.000499889297169799,9.39007781860098,-5.177334179,82.08479844
"vitamina_C_mg",10.3864100684934,156.232993196895,-145.3995518,737.9387236
"equivalente_de_folato_mcg",13.4797916866179,128.936323720298,-229.3809791,387.1600025
"sal_de_adicao_g",0.0553632473108207,1.2192493057347,-2.377450204,4.074299319
"acucar_de_adicao_g",0.135639823188207,18.250537792121,-30.75998416,64.92400196
"energia2_kcal",2060.49509433962,782.93057423071,521.92,4131.94
"SoFAAS_Score",15.1265094339623,3.72873476369738,2.11,20
"Sat_Fat_Score",6.41981132075472,2.40720069835407,0,10
"Sodium_Score",5.33009433962264,2.44472902200127,0,10
"meats_eggs_legumes_score",9.92245283018868,0.466439015195637,6.57,10
"grain_roots_tubers_score",3.33216981132075,1.20555697834335,0.59,5
"milk_dairy_score",2.34867924528302,2.28092799638831,0,10
"total_fruit_score",1.16915094339623,1.10391780053246,0,5
"total_vegetable_score",2.2288679245283,1.2642191798778,0.18,5
"vegetable_oils_nuts_fishoil_score",5.7288679245283,4.34990275113073,0,10
"dark_green_orange_veg_legume_score",2.27141509433962,1.31698099106161,0,5
"whole_fruit_score",0.0500943396226415,0.486289146365017,0,5
"whole_grain_score",0.024811320754717,0.25544818179996,0,2.63
"BHEI_R_Score_Total",53.9534905660377,10.4316122154821,21.49,77.8
"ConsumoGrupo_NOVA_group_1",590.0441871625,567.488868259294,122.3722145,5041.063791
"ConsumoGrupo_NOVA_group_2",115.745274661021,111.074406009261,0,488.962251
"ConsumoGrupo_NOVA_group_3",177.343128335073,175.999077759266,0,933.8004341
"Percentual_NOVA_group_1",65.7236218821875,16.8019127966879,17.86783633,97.49714674
"Percentual_NOVA_group_2",13.6688920884333,10.9285058347371,0,46.84685756
"Percentual_NOVA_group_3",20.6074860297927,15.4825769558236,0,82.13216367
"ConsumoCategoria",NA,NA,NA,NA
"BMI",27.4990288817708,5.44705765979188,18.6122449,45.3107519
"TyG",5.02105897905102,1.29183356375191,3.98415975,9.592332124
"VAI",9.64327599013846,7.33649339927256,1.099,38.97570462
"QUICKI",0.146018918062933,0.0307048809088356,0.09722444335,0.327
"METS_IR",5.66430691355714,5.51768251793342,3.493102227,50.59
"TyG_BMI",139.987198723673,50.4479868510136,76.30297328,326.9630458
"TyG_WC",482.308631194203,171.815901348614,270.922863,1080.096597
"WHR",0.926474945021918,0.0878671393003398,0.7049180328,1.107272727
"shannon_entropy",5.62036909916981,0.816357416732389,2.260184265,7.366579675
"pielou_evenness",0.715892812820755,0.0840780433620411,0.2976881204,0.8401488156
"faith_pd",16.8270889932075,3.31097303542584,11.19496716,28.82411311
"observed_features",235.622641509434,64.3329809262771,129,451
"simpson",0.9351602029,0.0705076508136292,0.4273822407,0.9886783349
"chao1",244.603773584906,69.4634784816258,129,486
"ACE",244.603773584906,69.4634784816258,129,486
